Manufacturer,Model,Price,Carrosserie,Fuel
Hyundai,i10,"€ 249,-",Hatchback (5 deurs),Benzine
Hyundai,i20 MHEV,"€ 319,-",Hatchback (5 deurs),Benzine
Hyundai,Bayon MHEV,"€ 349,-",SUV (5 deurs),Benzine
Hyundai,IONIQ 5 Elektrisch,"€ 539,-",Hatchback (5 deurs),Elektriciteit
Hyundai,IONIQ 6 Elektrisch,"€ 569,-",Sedan (5 deurs),Elektriciteit
Hyundai,Tucson Hybrid,"€ 599,-",SUV (5 deurs),Hybride benzine
Mitsubishi,Space Star,"€ 279,-",Hatchback (5 deurs),Benzine
Suzuki,Ignis MHEV,"€ 279,-",SUV (5 deurs),Benzine
Toyota,AYGO X,"€ 299,-",Hatchback 5 deurs,Benzine
Dacia,Sandero,"€ 324,-",Hatchback (5 deurs),Benzine
Mazda,2 MHEV,"€ 334,-",Hatchback (5 deurs),Benzine
Mitsubishi,Colt,"€ 339,-",Hatchback (5 deurs),Benzine
Citroen,C3,"€ 339,-",Hatchback (5 deurs),Benzine
Seat,Ibiza,"€ 354,-",hatchback (5 deurs),Benzine
Renault,Clio,"€ 354,-",Hatchback (5 deurs),Benzine
Dacia,Sandero Stepway,"€ 359,-",Hatchback (5 deurs),Benzine
Fiat,500e Elektrisch,"€ 359,-",Hatchback (3 deurs),Elektriciteit
Nissan,Leaf Elektrisch,"€ 364,-",-,-
Peugeot,208,"€ 369,-",5 deurs (hatchback),Benzine
Opel,Corsa,"€ 369,-",Hatchback (5 deurs),Benzine
Kia,Stonic MHEV,"€ 379,-",SUV,Benzine
Renault,Clio Hybrid,"€ 384,-",Hatchback (5 deurs),Hybride Benzine
Mazda,2 Hybrid,"€ 389,-",Hatchback (5 deurs),Hybride benzine
Dacia,Jogger,"€ 399,-",MPV (5 deurs),Benzine
Fiat,500e Elektrisch,"€ 399,-",Hatchback (3 deurs),Elektriciteit
Suzuki,Vitara MHEV,"€ 399,-",SUV (5 deurs),Benzine
Seat,Arona,"€ 404,-",SUV (5 deurs),Benzine
Peugeot,208 MHEV,"€ 409,-",5 deurs (hatchback),Benzine
Volkswagen,Polo,"€ 409,-",Hatchback (5 deurs),Benzine
BYD,Dolphin Elektrisch,"€ 409,-",Hatchback (5 deurs),Elektriciteit
Hyundai,i30 MHEV,"€ 409,-",Hatchback (5 deurs),Benzine
Nissan,Juke,"€ 419,-",SUV (5 deurs),Benzine
Dacia,Duster,"€ 419,-",SUV (5 deurs),Benzine
Mitsubishi,Colt Hybrid,"€ 419,-",Hatchback (5 deurs),Hybride benzine
Citroen,C3 Aircross,"€ 419,-",SUV (5 deurs),Benzine
Opel,Crossland,"€ 424,-",SUV (5 deurs),Benzine
Hyundai,KONA Elektrisch,"€ 434,-",-,-
Suzuki,S-Cross MHEV,"€ 434,-",SUV (5 deurs),benzine
Audi,A1 Sportback,"€ 439,-",Sportback (5 deurs),Benzine
Kia,e-Niro Elektrisch,"€ 439,-",-,-
Tesla,Model 3 Elektrisch,"€ 439,-",-,-
Kia,Niro Elektrisch,"€ 439,-",-,-
Citroen,C4,"€ 439,-",Hatchback (5 deurs),Benzine
Opel,Corsa Electric Elektrisch,"€ 439,-",Hatchback (5 deurs),Elektriciteit
Toyota,Yaris Cross,"€ 439,-",Hatchback (5 deurs),Benzine
MG,4 Elektrisch,"€ 444,-",-,-
Citroen,C4 X,"€ 444,-",Hatchback (5 deurs),Benzine
Hyundai,i30 Wagon MHEV,"€ 444,-",Stationwagen (5 deurs),Benzine
Suzuki,Vitara Hybrid,"€ 449,-",SUV (5 deurs),Hybride benzine
Opel,Mokka,"€ 449,-",SUV (5 deurs),Benzine
Ford,Focus MHEV,"€ 449,-",Hatchback (5 deurs),Benzine
Toyota,Yaris Cross Hybrid,"€ 454,-",SUV (5 deurs),Hybride benzine
Mitsubishi,ASX MHEV,"€ 459,-",SUV (5 deurs),Benzine
Opel,Astra,"€ 459,-",Hatchback (5 deurs),Benzine
Renault,Captur Hybrid,"€ 459,-",SUV (5 deurs),Hybride benzine
Mazda,3 sedan MHEV,"€ 459,-",Sedan (5 deurs),Benzine
Fiat,600e Elektrisch,"€ 459,-",SUV (5 deurs),Elektriciteit
Opel,Mokka Electric Elektrisch,"€ 459,-",SUV (5 deurs),Elektriciteit
Toyota,Corolla Hybrid,"€ 459,-",Hatchback (5 deurs),Hybride benzine
Mazda,3 hatchback MHEV,"€ 464,-",Hatchback (5 deurs),Benzine
Nissan,Juke Hybrid,"€ 469,-",SUV (5 deurs),Hybride benzine
Peugeot,308,"€ 469,-",Hatchback (5 deurs),Benzine
Ford,Focus Wagon MHEV,"€ 469,-",Stationwagen (5 deurs),Benzine
Volkswagen,Taigo,"€ 469,-",SUV (5 deurs),Benzine
Nissan,Leaf Elektrisch,"€ 469,-",Hatchback (5 deurs),Elektriciteit
Dacia,Jogger Hybrid,"€ 469,-",MPV (5 deurs),Hybride benzine
Volkswagen,T-Cross,"€ 469,-",SUV (5 deurs),Benzine
MG,ZS Elektrisch,"€ 469,-",SUV (5 deurs),Elektriciteit
Seat,Leon,"€ 474,-",-,-
Peugeot,e-2008 Elektrisch,"€ 479,-",SUV (5 deurs),Elektriciteit
Mazda,MX-30 Elektrisch,"€ 479,-",SUV (5 deurs),Elektriciteit
Mitsubishi,ASX Hybrid,"€ 484,-",SUV (5 deurs),Hybride benzine
Opel,Astra Sports Tourer,"€ 484,-",Stationwagen (5 deurs),Benzine
Hyundai,KONA Hybrid,"€ 484,-",SUV  (5 deurs),Hybride benzine
MG,5 Elektrisch,"€ 484,-",Stationwagon (5 deurs),Elektriciteit
Suzuki,S-Cross Hybrid,"€ 489,-",SUV (5 deurs),Hybride benzine
Seat,Leon Sportstourer,"€ 489,-",Stationwagen (5 deurs),Benzine
Peugeot,308 SW,"€ 494,-",Stationwagen (5 deurs),Benzine
Opel,Astra Electric Elektrisch,"€ 499,-",Hatchback (5 deurs),Elektriciteit
Volvo,EX30 Elektrisch,"€ 499,-",SUV (5 deurs),Elektriciteit
Renault,Megane E-TECH Elektrisch,"€ 499,-",SUV (5 deurs),Elektriciteit
Seat,Ateca,"€ 499,-",SUV (5 deurs),Benzine
Toyota,Corolla Touring Sports Hybrid,"€ 499,-",Stationwagen (5 deurs),Hybride benzine
Ford,Kuga PHEV,"€ 509,-",SUV (5 deurs),Elektriciteit/Benzine
Peugeot,2008,"€ 509,-",5 deurs (SUV),Benzine
Kia,Niro EV Elektrisch,"€ 509,-",SUV (5 deurs),Elektriciteit
BYD,ATTO 3 Elektrisch,"€ 509,-",SUV (5 deurs),Elektriciteit
Jeep,Renegade MHEV,"€ 509,-",SUV  (5 deurs),Benzine
Renault,Arkana Hybrid,"€ 509,-",SUV (5 deurs),Hybride benzine
Volkswagen,T-Roc,"€ 509,-",SUV (5 deurs),Benzine
Hyundai,KONA Electric Elektrisch,"€ 514,-",SUV (5 deurs),Elektriciteit
Mazda,MX-5 Roadster,"€ 514,-",Cabrio (2 deurs),Benzine
Audi,A3 Limousine MHEV,"€ 519,-",Sedan  (4 deurs),Benzine
Audi,A3 Sportback,"€ 524,-",Sportback (5 deurs),Benzine
Volkswagen,Golf,"€ 529,-",Hatchback (5 deurs),Benzine
